freq_Hz,VCO,REF,DTC,MMD,SPD_GM,DSM_QN,TOTAL
1000.000,-150.315,-97.292,-126.154,-128.793,-130.793,-290.556,-97.281
1029.275,-150.189,-97.417,-126.154,-128.793,-130.793,-290.055,-97.406
1059.407,-150.063,-97.542,-126.154,-128.793,-130.793,-289.554,-97.531
1090.420,-149.936,-97.668,-126.154,-128.793,-130.793,-289.052,-97.656
1122.342,-149.810,-97.793,-126.154,-128.793,-130.793,-288.551,-97.781
1155.199,-149.684,-97.918,-126.154,-128.793,-130.793,-288.050,-97.906
1189.017,-149.558,-98.043,-126.154,-128.793,-130.793,-287.549,-98.031
1223.825,-149.431,-98.169,-126.154,-128.793,-130.793,-287.047,-98.156
1259.652,-149.305,-98.294,-126.154,-128.793,-130.793,-286.546,-98.280
1296.528,-149.179,-98.419,-126.154,-128.793,-130.793,-286.045,-98.405
1334.484,-149.052,-98.544,-126.154,-128.793,-130.793,-285.544,-98.530
1373.550,-148.926,-98.670,-126.154,-128.793,-130.793,-285.042,-98.655
1413.761,-148.799,-98.795,-126.154,-128.793,-130.793,-284.541,-98.780
1455.148,-148.673,-98.920,-126.154,-128.793,-130.793,-284.040,-98.905
1497.747,-148.546,-99.045,-126.154,-128.793,-130.793,-283.539,-99.029
1541.594,-148.420,-99.171,-126.154,-128.793,-130.793,-283.037,-99.154
1586.723,-148.293,-99.296,-126.154,-128.793,-130.793,-282.536,-99.279
1633.174,-148.166,-99.421,-126.154,-128.793,-130.793,-282.035,-99.404
1680.985,-148.040,-99.546,-126.154,-128.793,-130.793,-281.534,-99.528
1730.196,-147.913,-99.672,-126.154,-128.793,-130.793,-281.032,-99.653
1780.847,-147.786,-99.797,-126.154,-128.793,-130.793,-280.531,-99.778
1832.981,-147.660,-99.922,-126.154,-128.793,-130.793,-280.030,-99.902
1886.641,-147.533,-100.047,-126.154,-128.793,-130.793,-279.529,-100.027
1941.872,-147.406,-100.172,-126.154,-128.793,-130.793,-279.027,-100.152
1998.720,-147.279,-100.298,-126.154,-128.793,-130.793,-278.526,-100.276
2057.232,-147.152,-100.423,-126.154,-128.793,-130.793,-278.025,-100.401
2117.457,-147.025,-100.548,-126.154,-128.793,-130.793,-277.524,-100.526
2179.445,-146.898,-100.673,-126.154,-128.793,-130.793,-277.022,-100.650
2243.248,-146.771,-100.799,-126.154,-128.793,-130.793,-276.521,-100.775
2308.918,-146.643,-100.924,-126.154,-128.793,-130.793,-276.020,-100.899
2376.511,-146.516,-101.049,-126.154,-128.793,-130.793,-275.519,-101.024
2446.083,-146.389,-101.174,-126.154,-128.793,-130.793,-275.017,-101.148
2517.691,-146.262,-101.299,-126.154,-128.793,-130.793,-274.516,-101.272
2591.396,-146.134,-101.425,-126.154,-128.793,-130.793,-274.015,-101.397
2667.259,-146.007,-101.550,-126.154,-128.793,-130.793,-273.514,-101.521
2745.342,-145.879,-101.675,-126.154,-128.793,-130.793,-273.012,-101.646
2825.712,-145.752,-101.800,-126.154,-128.793,-130.793,-272.511,-101.770
2908.434,-145.624,-101.925,-126.154,-128.793,-130.793,-272.010,-101.894
2993.577,-145.496,-102.050,-126.154,-128.793,-130.793,-271.509,-102.018
3081.214,-145.368,-102.176,-126.154,-128.793,-130.793,-271.007,-102.143
3171.415,-145.241,-102.301,-126.154,-128.793,-130.793,-270.506,-102.267
3264.258,-145.113,-102.426,-126.154,-128.793,-130.793,-270.005,-102.391
3359.818,-144.985,-102.551,-126.154,-128.793,-130.793,-269.503,-102.515
3458.176,-144.856,-102.676,-126.154,-128.793,-130.793,-269.002,-102.639
3559.414,-144.728,-102.801,-126.154,-128.793,-130.793,-268.501,-102.763
3663.615,-144.600,-102.927,-126.154,-128.793,-130.793,-268.000,-102.887
3770.866,-144.472,-103.052,-126.154,-128.793,-130.793,-267.498,-103.011
